IQ,CGPA,10th_Marks,12th_Marks,Communication_Skills,Placed
109,9.25,56,81,2.37,1
150,4.99,53,57,4.88,0
144,4.0,90,83,4.03,1
118,5.49,92,57,6.49,0
132,6.46,96,65,2.67,1
109,9.16,95,61,3.54,0
128,5.15,61,69,5.6,1
118,3.06,51,87,4.56,1
127,9.06,78,96,5.04,0
140,4.15,62,59,3.52,1
109,8.93,88,50,3.0,1
150,4.31,91,86,6.64,0
136,5.7,90,56,2.37,0
101,4.34,64,52,2.54,1
145,9.25,76,79,2.11,1
109,9.87,65,76,2.18,0
140,4.95,50,51,4.77,1
117,3.65,70,80,5.24,0
114,8.35,60,78,5.72,0
107,7.23,84,88,5.1,1
115,5.33,81,98,4.12,1
111,6.51,69,57,5.02,0
106,3.41,84,99,4.03,1
113,7.05,77,99,5.03,0
106,5.41,62,54,5.28,0
139,7.57,80,59,5.25,1
115,8.18,51,64,5.53,1
115,5.71,80,90,3.88,0
123,9.44,52,54,5.92,1
133,8.08,86,62,3.7,1
134,3.37,100,96,3.54,0
101,8.23,53,81,4.26,0
102,6.17,75,99,4.3,1
148,4.39,79,60,6.67,0
116,9.74,50,87,5.63,0
138,6.03,77,96,5.36,1
145,9.66,98,54,2.9,1
136,8.13,83,55,4.93,0
116,8.8,79,76,6.69,1
115,7.69,95,77,6.98,1
145,8.5,83,67,2.93,1
145,3.02,90,53,6.17,0
126,5.03,94,63,5.46,0
108,8.35,100,64,5.7,0
109,6.47,95,80,4.87,1
141,3.54,87,93,3.66,1
139,4.74,52,84,4.07,0
122,3.85,51,95,6.27,0
115,4.11,73,77,4.25,0
106,3.96,100,98,2.74,0
107,5.07,88,56,2.46,1
120,6.88,59,52,4.67,1
134,8.36,96,85,2.47,0
150,3.29,98,81,4.76,0
124,6.04,51,70,4.34,1
119,9.03,53,82,5.45,1
134,4.32,69,96,6.33,0
150,7.63,89,59,3.29,1
123,3.21,50,65,5.08,0
145,6.77,93,95,2.61,0
148,6.18,98,76,3.36,0
129,4.53,96,80,4.97,0
121,7.08,69,92,4.61,1
113,8.2,85,71,2.15,0
137,5.72,76,86,4.77,0
113,6.23,63,89,3.67,0
121,6.44,85,84,6.17,0
112,5.1,85,89,5.8,1
123,8.95,77,68,5.99,1
123,3.67,82,79,6.8,1
140,5.58,51,83,3.91,1
135,8.83,83,91,2.95,1
118,8.88,62,66,2.13,1
130,8.68,90,73,3.45,0
114,7.82,82,59,5.36,1
106,5.95,85,71,3.84,1
138,9.39,95,63,3.27,1
111,4.27,62,57,5.42,0
114,6.2,67,62,2.54,1
136,4.54,61,93,4.0,1
145,9.88,55,65,2.85,0
125,8.57,68,58,5.16,1
125,5.42,75,51,3.44,0
113,9.4,77,81,4.95,1
125,6.76,61,63,5.75,1
142,3.04,83,78,6.24,1
104,3.81,59,52,3.41,1
141,9.14,97,80,2.83,0
108,4.6,86,92,5.92,0
103,5.35,89,52,3.07,0
141,8.21,85,93,5.42,1
125,6.66,74,67,6.81,0
119,7.8,95,56,3.85,0
123,9.29,94,69,4.1,1
111,5.23,56,75,5.69,0
148,5.07,53,76,4.37,1
135,7.69,100,95,3.2,0
125,4.05,100,86,2.19,1
137,8.56,78,59,4.06,0
144,4.93,61,50,6.49,0
